graph_id,node_id,label,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2,train_mask,val_mask,test_mask
0,0,7,0,0,1,0,0,1,0,0,0,1
0,1,7,0,0,1,0,0,1,0,0,0,1
0,2,7,0,0,1,0,0,1,0,0,0,1
0,3,7,0,0,1,0,0,1,0,0,0,1
0,4,7,0,0,1,0,0,1,0,0,0,1
0,5,7,0,0,1,0,0,1,0,0,0,1
0,6,0,1,0,0,0,0,1,0,0,0,1
0,7,0,1,0,0,0,0,1,0,0,0,1
0,8,0,1,0,0,0,0,1,0,0,0,1
0,9,0,1,0,0,0,0,1,0,0,0,1
0,10,0,1,0,0,0,0,1,0,0,0,1
0,11,0,1,0,0,0,0,1,0,0,0,1
0,12,4,0,1,0,0,1,0,0,0,0,1
0,13,4,0,1,0,0,1,0,0,0,0,1
0,14,4,0,1,0,0,1,0,0,0,0,1
0,15,4,0,1,0,0,1,0,0,0,0,1
0,16,2,0,1,0,0,0,1,0,0,0,1
0,17,1,0,1,0,0,0,1,0,0,0,1
0,18,1,0,1,0,0,0,1,0,0,0,1
0,19,5,0,0,1,0,1,0,0,0,0,1
0,20,5,0,0,1,0,1,0,0,0,0,1
0,21,5,0,0,1,0,1,0,0,0,0,1
0,22,5,0,0,1,0,1,0,0,0,0,1
