graph_id,node_id,true,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2,train_mask,val_mask,test_mask,pred
0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,4,0,1,0,0,1,0,0,0,0,1,5
0,2,7,0,0,1,0,0,1,0,0,0,1,7
0,3,4,0,1,0,0,1,0,0,0,0,1,3
0,4,0,0,0,0,0,0,1,0,0,0,1,5
0,5,0,1,0,0,0,0,1,0,0,0,1,0
0,6,7,0,0,1,0,0,1,0,0,0,1,7
0,7,5,0,0,1,0,1,0,0,0,0,1,5
0,8,0,1,0,0,0,0,1,0,0,0,1,0
0,9,0,0,0,0,0,0,1,0,0,0,1,5
0,10,7,0,0,1,0,0,1,0,0,0,1,7
0,11,5,0,0,1,0,1,0,0,0,0,1,5
0,12,4,0,1,0,0,1,0,0,0,0,1,3
0,13,0,0,0,0,0,0,1,0,0,0,1,5
0,14,0,1,0,0,0,0,1,0,0,0,1,0
0,15,7,0,0,1,0,0,1,0,0,0,1,7
0,16,0,0,0,0,0,0,1,0,0,0,1,5
0,17,0,0,0,0,0,0,1,0,0,0,1,5
0,18,7,0,0,1,0,0,1,0,0,0,1,5
0,19,4,0,1,0,0,1,0,0,0,0,1,3
0,20,0,0,0,0,0,0,1,0,0,0,1,5
0,21,1,0,1,0,0,0,1,0,0,0,1,2
0,22,0,0,0,0,0,0,1,0,0,0,1,5
0,23,0,0,0,0,0,0,1,0,0,0,1,5
0,24,0,0,0,0,0,0,1,0,0,0,1,5
0,25,5,0,0,1,0,1,0,0,0,0,1,5
0,26,4,0,1,0,0,1,0,0,0,0,1,3
0,27,0,0,0,0,0,0,1,0,0,0,1,5
0,28,0,0,0,0,0,0,1,0,0,0,1,5
0,29,0,0,0,0,0,0,1,0,0,0,1,5
0,30,7,0,0,1,0,0,1,0,0,0,1,5
0,31,2,0,1,0,0,0,1,0,0,0,1,2
0,32,1,0,1,0,0,0,1,0,0,0,1,4
0,33,5,0,0,1,0,1,0,0,0,0,1,5
0,34,0,1,0,0,0,0,1,0,0,0,1,0
0,35,0,0,0,0,0,0,1,0,0,0,1,5
