graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,37,15,0,True,False,False
0,15,37,0,True,False,False
0,2,37,0,True,False,False
0,37,2,0,True,False,False
0,2,33,0,True,False,False
0,33,2,0,True,False,False
0,2,36,0,True,False,False
0,36,2,0,True,False,False
0,2,38,0,True,False,False
0,38,2,0,True,False,False
0,2,16,0,True,False,False
0,16,2,0,True,False,False
0,2,24,0,True,False,False
0,24,2,0,True,False,False
0,2,14,0,True,False,False
0,14,2,0,True,False,False
0,2,9,0,True,False,False
0,9,2,0,True,False,False
0,2,13,0,True,False,False
0,13,2,0,True,False,False
0,2,7,0,True,False,False
0,7,2,0,True,False,False
0,2,22,0,True,False,False
0,22,2,0,True,False,False
0,2,26,0,True,False,False
0,26,2,0,True,False,False
0,2,35,0,True,False,False
0,35,2,0,True,False,False
0,2,4,0,True,False,False
0,4,2,0,True,False,False
0,2,11,0,True,False,False
0,11,2,0,True,False,False
0,2,8,0,True,False,False
0,8,2,0,True,False,False
0,2,25,0,True,False,False
0,25,2,0,True,False,False
0,2,27,0,True,False,False
0,27,2,0,True,False,False
0,2,32,0,True,False,False
0,32,2,0,True,False,False
0,2,18,0,True,False,False
0,18,2,0,True,False,False
0,2,1,0,True,False,False
0,1,2,0,True,False,False
0,2,0,0,True,False,False
0,0,2,0,True,False,False
0,2,21,0,True,False,False
0,21,2,0,True,False,False
0,2,23,0,True,False,False
0,23,2,0,True,False,False
0,2,20,0,True,False,False
0,20,2,0,True,False,False
0,2,12,0,True,False,False
0,12,2,0,True,False,False
0,2,28,0,True,False,False
0,28,2,0,True,False,False
0,21,15,0,True,False,False
0,15,21,0,True,False,False
0,22,15,0,True,False,False
0,15,22,0,True,False,False
0,16,17,0,True,False,False
0,17,16,0,True,False,False
0,27,5,0,True,False,False
0,5,27,0,True,False,False
0,25,3,0,True,False,False
0,3,25,0,True,False,False
0,32,34,0,True,False,False
0,34,32,0,True,False,False
0,8,19,0,True,False,False
0,19,8,0,True,False,False
0,0,34,0,True,False,False
0,34,0,0,True,False,False
0,14,6,0,True,False,False
0,6,14,0,True,False,False
0,12,15,0,True,False,False
0,15,12,0,True,False,False
0,15,17,0,True,False,False
0,17,15,0,True,False,False
0,17,19,0,True,False,False
0,19,17,0,True,False,False
0,17,5,0,True,False,False
0,5,17,0,True,False,False
0,15,19,0,True,False,False
0,19,15,0,True,False,False
0,11,19,0,True,False,False
0,19,11,0,True,False,False
0,5,19,0,True,False,False
0,19,5,0,True,False,False
0,38,34,0,True,False,False
0,34,38,0,True,False,False
0,35,34,0,True,False,False
0,34,35,0,True,False,False
0,24,34,0,True,False,False
0,34,24,0,True,False,False
0,34,6,0,True,False,False
0,6,34,0,True,False,False
0,4,6,0,True,False,False
0,6,4,0,True,False,False
0,10,6,0,True,False,False
0,6,10,0,True,False,False
0,15,5,0,True,False,False
0,5,15,0,True,False,False
0,5,30,0,True,False,False
0,30,5,0,True,False,False
0,33,10,0,True,False,False
0,10,33,0,True,False,False
0,34,10,0,True,False,False
0,10,34,0,True,False,False
0,3,10,0,True,False,False
0,10,3,0,True,False,False
0,18,10,0,True,False,False
0,10,18,0,True,False,False
0,10,31,0,True,False,False
0,31,10,0,True,False,False
0,23,34,0,True,False,False
0,34,23,0,True,False,False
0,26,30,0,False,True,False
0,30,26,0,False,True,False
0,1,31,0,False,True,False
0,31,1,0,False,True,False
0,34,29,0,False,True,False
0,29,34,0,False,True,False
0,9,29,0,False,True,False
0,29,9,0,False,True,False
0,29,3,0,False,True,False
0,3,29,0,False,True,False
0,29,31,0,False,True,False
0,31,29,0,False,True,False
0,7,3,0,False,True,False
0,3,7,0,False,True,False
0,28,30,0,False,False,True
0,30,28,0,False,False,True
0,34,31,0,False,False,True
0,31,34,0,False,False,True
0,3,31,0,False,False,True
0,31,3,0,False,False,True
0,15,34,0,False,False,True
0,34,15,0,False,False,True
0,15,30,0,False,False,True
0,30,15,0,False,False,True
0,20,34,0,False,False,True
0,34,20,0,False,False,True
0,13,34,0,False,False,True
0,34,13,0,False,False,True
0,36,30,0,False,False,True
0,30,36,0,False,False,True
