node,degree_centrality,closeness_centrality,clustering_coefficient
"(-2.368, 17.318, -0.25)",0.10227272727272728,0.12922173274596183,0.2222222222222222
"(-2.678, 8.629, -0.25)",0.10227272727272728,0.13313161875945537,0.2222222222222222
"(-0.692, 12.779, -0.25)",0.06818181818181818,0.18803418803418803,0.0
"(-1.727, 7.769, -0.25)",0.05681818181818182,0.14473684210526316,0.2
"(-1.691, 15.79, -0.25)",0.045454545454545456,0.12753623188405797,0.3333333333333333
"(1.309, 18.79, -0.25)",0.045454545454545456,0.12005457025920874,0.3333333333333333
"(-1.691, 16.79, -0.25)",0.045454545454545456,0.11624834874504623,0.3333333333333333
"(-1.691, 17.79, -0.25)",0.045454545454545456,0.11563731931668857,0.3333333333333333
"(-0.691, 18.79, -0.25)",0.045454545454545456,0.11563731931668857,0.3333333333333333
"(1.309, 15.79, -0.25)",0.045454545454545456,0.1476510067114094,0.0
"(1.309, 14.79, -0.25)",0.045454545454545456,0.1614678899082569,0.0
"(0.309, 17.79, -0.25)",0.045454545454545456,0.12753623188405797,0.0
"(-0.691, 17.79, -0.25)",0.045454545454545456,0.11594202898550725,0.0
"(1.309, 17.79, -0.25)",0.045454545454545456,0.12342215988779803,0.0
"(0.309, 16.79, -0.25)",0.045454545454545456,0.14057507987220447,0.0
"(0.309, 15.79, -0.25)",0.045454545454545456,0.15547703180212014,0.0
"(0.381, 14.853, -0.25)",0.045454545454545456,0.17153996101364521,0.0
"(1.309, 16.79, -0.25)",0.045454545454545456,0.13496932515337423,0.0
"(0.309, 11.79, -0.25)",0.045454545454545456,0.19909502262443438,0.0
"(0.309, 10.79, -0.25)",0.045454545454545456,0.19599109131403117,0.0
"(1.309, 12.79, -0.25)",0.045454545454545456,0.18448637316561844,0.0
"(0.349, 12.715, -0.25)",0.045454545454545456,0.19775280898876405,0.0
"(0.309, 18.79, -0.25)",0.045454545454545456,0.11624834874504623,0.3333333333333333
"(-0.691, 15.79, -0.25)",0.045454545454545456,0.14035087719298245,0.0
"(-0.691, 16.79, -0.25)",0.045454545454545456,0.12753623188405797,0.0
"(0.309, 7.79, -0.25)",0.045454545454545456,0.1660377358490566,0.0
"(0.309, 6.79, -0.25)",0.045454545454545456,0.15042735042735042,0.0
"(-0.691, 5.79, -0.25)",0.045454545454545456,0.13114754098360656,0.0
"(1.309, 5.79, -0.25)",0.045454545454545456,0.12941176470588237,0.0
"(-1.691, 5.79, -0.25)",0.045454545454545456,0.12054794520547946,0.3333333333333333
"(-1.691, 6.79, -0.25)",0.045454545454545456,0.13193403298350825,0.3333333333333333
"(0.309, 5.79, -0.25)",0.045454545454545456,0.13580246913580246,0.0
"(1.309, 13.79, -0.25)",0.045454545454545456,0.1732283464566929,0.0
"(-0.691, 11.79, -0.25)",0.045454545454545456,0.18924731182795698,0.0
"(0.309, 8.79, -0.25)",0.045454545454545456,0.17849898580121704,0.0
"(-0.691, 9.79, -0.25)",0.045454545454545456,0.17995910020449898,0.0
"(1.309, 9.79, -0.25)",0.045454545454545456,0.17670682730923695,0.0
"(-0.691, 10.79, -0.25)",0.045454545454545456,0.1864406779661017,0.0
"(0.309, 9.79, -0.25)",0.045454545454545456,0.1888412017167382,0.0
"(1.309, 11.79, -0.25)",0.045454545454545456,0.18565400843881857,0.0
"(-0.691, 13.79, -0.25)",0.045454545454545456,0.16176470588235295,0.0
"(-0.691, 8.79, -0.25)",0.045454545454545456,0.17054263565891473,0.0
"(1.309, 7.79, -0.25)",0.045454545454545456,0.15658362989323843,0.0
"(-0.691, 6.79, -0.25)",0.045454545454545456,0.14473684210526316,0.0
"(-0.691, 7.79, -0.25)",0.045454545454545456,0.15913200723327306,0.0
"(1.309, 10.79, -0.25)",0.045454545454545456,0.18295218295218296,0.0
"(1.309, 8.79, -0.25)",0.045454545454545456,0.1676190476190476,0.0
"(-1.691, 13.79, -0.25)",0.045454545454545456,0.1408,0.3333333333333333
"(1.309, 6.79, -0.25)",0.045454545454545456,0.1426256077795786,0.0
"(2.309, 16.79, -0.25)",0.03409090909090909,0.12482269503546099,0.0
"(0.513, 13.79, -0.25)",0.03409090909090909,0.18487394957983194,0.0
"(2.309, 18.79, -0.25)",0.03409090909090909,0.11956521739130435,0.3333333333333333
"(2.309, 17.79, -0.25)",0.03409090909090909,0.11533420707732635,0.0
"(-0.691, 15.031, -0.25)",0.03409090909090909,0.15411558669001751,0.0
"(-1.691, 18.79, -0.25)",0.03409090909090909,0.11503267973856209,0.6666666666666666
"(-1.691, 15.031, -0.25)",0.03409090909090909,0.13968253968253969,0.3333333333333333
"(-1.199, 11.79, -0.25)",0.03409090909090909,0.16923076923076924,0.0
"(-1.775, 8.79, -0.25)",0.03409090909090909,0.12960235640648013,0.6666666666666666
"(2.309, 7.79, -0.25)",0.03409090909090909,0.14170692431561996,0.0
"(2.309, 8.79, -0.25)",0.03409090909090909,0.1506849315068493,0.0
"(2.309, 10.79, -0.25)",0.03409090909090909,0.16296296296296298,0.0
"(2.309, 11.79, -0.25)",0.03409090909090909,0.1651031894934334,0.0
"(-0.691, 14.455, -0.25)",0.03409090909090909,0.14057507987220447,0.0
"(-1.199, 10.79, -0.25)",0.03409090909090909,0.16698292220113853,0.0
