graph_id,node_id,label,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2,train_mask,val_mask,test_mask
0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1,0,0,0,1
0,2,0,1,0,0,0,0,1,0,0,0,1
0,3,0,1,0,0,0,0,1,0,0,0,1
0,4,0,1,0,0,0,0,1,0,0,0,1
0,5,0,1,0,0,0,0,1,0,0,0,1
0,6,0,1,0,0,0,0,1,0,0,0,1
0,7,1,0,1,0,0,0,1,0,0,0,1
0,8,1,0,1,0,0,0,1,0,0,0,1
0,9,1,0,1,0,0,0,1,0,0,0,1
0,10,2,0,1,0,0,0,1,0,0,0,1
0,11,4,0,1,0,0,1,0,0,0,0,1
0,12,4,0,1,0,0,1,0,0,0,0,1
0,13,4,0,1,0,0,1,0,0,0,0,1
0,14,4,0,1,0,0,1,0,0,0,0,1
0,15,4,0,1,0,0,1,0,0,0,0,1
0,16,5,0,0,1,0,1,0,0,0,0,1
0,17,5,0,0,1,0,1,0,0,0,0,1
0,18,5,0,0,1,0,1,0,0,0,0,1
0,19,7,0,0,1,0,0,1,0,0,0,1
0,20,7,0,0,1,0,0,1,0,0,0,1
0,21,6,0,0,1,0,0,1,0,0,0,1
0,22,6,0,0,1,0,0,1,0,0,0,1
0,23,6,0,0,1,0,0,1,0,0,0,1
0,24,6,0,0,1,0,0,1,0,0,0,1
0,25,6,0,0,1,0,0,1,0,0,0,1
0,26,6,0,0,1,0,0,1,0,0,0,1
0,27,8,0,0,0,1,0,1,0,0,0,1
0,28,8,0,0,0,1,0,1,0,0,0,1
0,29,3,0,1,0,0,0,1,0,0,0,1
