graph_id,src_id,dst_id,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2
0,10,19,0,1,0
0,19,10,0,1,0
0,10,14,0,1,0
0,14,10,0,1,0
0,10,22,0,1,0
0,22,10,0,1,0
0,12,16,0,1,0
0,16,12,0,1,0
0,16,27,0,0,1
0,27,16,0,0,1
0,1,25,0,1,0
0,25,1,0,1,0
0,2,24,0,1,0
0,24,2,0,1,0
0,15,26,0,1,0
0,26,15,0,1,0
0,15,17,0,1,0
0,17,15,0,1,0
0,0,15,0,1,0
0,15,0,0,1,0
0,1,15,0,1,0
0,15,1,0,1,0
0,2,15,0,1,0
0,15,2,0,1,0
0,8,13,0,1,0
0,13,8,0,1,0
0,7,13,0,1,0
0,13,7,0,1,0
0,13,17,0,1,0
0,17,13,0,1,0
0,12,13,0,1,0
0,13,12,0,1,0
0,14,17,0,1,0
0,17,14,0,1,0
0,5,9,0,1,0
0,9,5,0,1,0
0,19,29,0,1,0
0,29,19,0,1,0
0,9,18,0,1,0
0,18,9,0,1,0
0,11,21,0,0,1
0,21,11,0,0,1
0,21,27,0,0,1
0,27,21,0,0,1
0,3,9,0,1,0
0,9,3,0,1,0
0,4,9,0,1,0
0,9,4,0,1,0
0,6,9,0,1,0
0,9,6,0,1,0
0,11,14,0,1,0
0,14,11,0,1,0
0,14,28,0,1,0
0,28,14,0,1,0
0,0,1,0,1,0
0,1,0,0,1,0
0,11,29,0,1,0
0,29,11,0,1,0
0,23,29,0,1,0
0,29,23,0,1,0
0,1,20,0,1,0
0,20,1,0,1,0
0,2,20,0,1,0
0,20,2,0,1,0
